Questao__c,OrdemExibicao__c,Name,Correta__c,Ativa__c,ExplicacaoAlternativa__c
"[QUESTAO_SM001_ID]",1,"Configuração que define origem, schema e frequência de ingestão",true,true,"Um Data Stream é a entidade que orquestra como os dados fluem do CRM ou sistema externo para o Data Cloud, definindo exatamente quais campos, com que frequência e sob quais regras de qualidade."
"[QUESTAO_SM001_ID]",2,"Grupo dinâmico de perfis com critérios definidos",false,true,"Esta é a definição de um segmento no Data Cloud, não de um Data Stream."
"[QUESTAO_SM001_ID]",3,"Aplicar o papel de Data Stream com __dlm para resolver este caso: iniciar a entrada de dados",false,true,"Esta frase descreve uma aplicação de uso, não a definição do conceito."
"[QUESTAO_SM001_ID]",4,"Executar ativação sem validar consentimento e governança previamente",false,true,"Isto é um anti-padrão e não define o que é um Data Stream."
"[QUESTAO_SM002_ID]",1,"Receber dados antes da harmonização",true,true,"Um DLO é o repositório que armazena dados brutos antes de passarem por harmonização e transformação, sendo essencial no pipeline de qualidade."
"[QUESTAO_SM002_ID]",2,"Publicação de segmentos para destinos externos",false,true,"Isto descreve uma ativação, não a função de um DLO."
"[QUESTAO_SM002_ID]",3,"Aplicar o papel de Harmonização para resolver este caso: alinhar semântica entre origem e modelo",false,true,"Harmonização é uma camada acima do DLO, não sua função principal."
"[QUESTAO_SM002_ID]",4,"Trocar mapeamento sem revisão de impacto em DMO e consumidores downstream",false,true,"Este é um erro operacional, não uma função de DLO."
"[QUESTAO_SM003_ID]",1,"Melhor consistência e uso confiável dos dados para decisão e ativação",true,true,"DMO é o objeto modelado e harmonizado que fornece dados limpos, confiáveis e prontos para uso em análises e ativações."
"[QUESTAO_SM003_ID]",2,"Conector nativo para ingestão de dados do Salesforce CRM",false,true,"Isto descreve um Data Stream ou conector, não um DMO."
"[QUESTAO_SM003_ID]",3,"Aplicar o papel de Governança de dados para resolver este caso: assegurar conformidade",false,true,"Governança é um controle, não a definição de DMO."
"[QUESTAO_SM003_ID]",4,"Priorizar velocidade e adiar qualidade de dados para depois do go-live",false,true,"Este é um anti-padrão que ignora a importância de um DMO de qualidade."
"[QUESTAO_SM004_ID]",1,"Processo que unifica perfis de múltiplas fontes",true,true,"Identity Resolution é o mecanismo que conecta e deduplica identidades de diferentes sistemas em um único perfil unificado no Data Cloud."
"[QUESTAO_SM004_ID]",2,"Conexão para ingestão de arquivos em buckets S3",false,true,"Isto descreve um conector de ingestão, não Identity Resolution."
"[QUESTAO_SM004_ID]",3,"Aplicar o papel de Consentimento para resolver este caso: garantir conformidade",false,true,"Consentimento é ortogonal ao processo de unificação de identidades."
"[QUESTAO_SM004_ID]",4,"Assumir que Identity Resolution substitui harmonização e modelagem",false,true,"Esta é uma falsa suposição; Identity Resolution e harmonização são complementares."
"[QUESTAO_SM005_ID]",1,"Gerar indicadores de negócio reutilizáveis",true,true,"Um Calculated Insight é um indicador calculado sob demanda ou em cadência que agrega dados do Data Cloud para fornecer métricas de negócio reutilizáveis e confiáveis."
"[QUESTAO_SM005_ID]",2,"Componente para exibir dados do Data Cloud no CRM",false,true,"Isto descreve um componente de visualização, não um Calculated Insight."
"[QUESTAO_SM005_ID]",3,"Aplicar o papel de Zero-Copy para resolver este caso: reduzir latência e custo de armazenamento",false,true,"Zero-Copy é um conceito de otimização, não a função de um Calculated Insight."
"[QUESTAO_SM005_ID]",4,"Publicar segmento sem critérios de inclusão e exclusão testados",false,true,"Este é um risco operacional de ativação, não a função de um Calculated Insight."
"[QUESTAO_SM006_ID]",1,"Ponto de contato que consolida canais de comunicação de um Individual",true,true,"Um Contact Point é a entidade que representa cada meio de contato (email, phone, mobile) associado a um Individual unificado no Data Cloud."
"[QUESTAO_SM006_ID]",2,"Fonte de dados de DMOs em elementos de Flow",false,true,"Isto descreve uma fonte de dados, não a função de um Contact Point."
"[QUESTAO_SM006_ID]",3,"Aplicar o papel de Individual para resolver este caso: ser pivô de relacionamento entre dados de contato e comportamento",false,true,"Individual é complementar ao Contact Point, não sua função."
"[QUESTAO_SM006_ID]",4,"Mapeamento de campos da origem para modelo padronizado",false,true,"Isto descreve harmonização, não a função de um Contact Point."
"[QUESTAO_SM007_ID]",1,"Publicação de segmentos para destinos externos",true,true,"Uma Calculated Insight pode ser publicada como segmento para envio a destinos como marketing cloud ou CRM para ativação em tempo real ou agendada."
"[QUESTAO_SM007_ID]",2,"Sintaxe para consultar DMOs do Data Cloud",false,true,"Isto descreve a linguagem de query, não a função de uma Calculated Insight."
"[QUESTAO_SM007_ID]",3,"Aplicar o papel de Contact Point Email para resolver este caso: consolidar canal de email de um Individual",false,true,"Contact Point Email é um conceito ortogonal a Calculated Insights."
"[QUESTAO_SM007_ID]",4,"Projetar integração sem contrato semântico entre origem e destino",false,true,"Esta é uma má prática de arquitetura, não uma função de Calculated Insight."
"[QUESTAO_SM008_ID]",1,"Extrair objetos CRM sem integração customizada",true,true,"O Data Cloud fornece conectores nativos que simplificam a extração de dados do Salesforce CRM sem necessidade de código customizado ou middleware adicional."
"[QUESTAO_SM008_ID]",2,"Mapeamento de campos da origem para modelo padronizado",false,true,"Isto descreve harmonização, que vem depois da extração."
"[QUESTAO_SM008_ID]",3,"Aplicar o papel de Contact Point Phone para resolver este caso: habilitar comunicação via telefone",false,true,"Contact Point Phone é um tipo de contato, não um método de extração."
"[QUESTAO_SM008_ID]",4,"Ignorar rastreabilidade de mudanças em ambiente enterprise",false,true,"Esta é uma má prática operacional, não uma abordagem de extração."
"[QUESTAO_SM009_ID]",1,"Melhor consistência e uso confiável dos dados para decisão e ativação",true,true,"Harmonização alinha dados de múltiplas fontes para uma semântica comum, garantindo que sejam interpretados corretamente ao longo de todo o pipeline de dados e ativações."
"[QUESTAO_SM009_ID]",2,"Conjunto de regras de qualidade, acesso e conformidade",false,true,"Isto descreve governança de dados, que é complementar à harmonização."
"[QUESTAO_SM009_ID]",3,"Aplicar o papel de Individual para resolver este caso: ser pivô de relacionamento entre dados de contato e comportamento",false,true,"Individual é uma entidade chave, mas não a função primária de harmonização."
"[QUESTAO_SM009_ID]",4,"Executar ativação sem validar consentimento e governança previamente",false,true,"Isto é um risco de ativação, não uma função de harmonização."
"[QUESTAO_SM010_ID]",1,"Autorização explícita para uso de dados pessoais",true,true,"Consentimento no Data Cloud representa a autorização que indivíduos concedem para coleta, processamento e ativação de seus dados, garantindo conformidade com GDPR, CCPA e regulamentações locais."
"[QUESTAO_SM010_ID]",2,"Componente para exibir dados do Data Cloud no CRM",false,true,"Isto descreve um componente de UI, não consentimento."
"[QUESTAO_SM010_ID]",3,"Aplicar o papel de Data Stream para resolver este caso: iniciar a entrada de dados em consentimento",false,true,"Data Stream é o mecanismo de ingestão, não de consentimento."
