Questao__c,OrdemExibicao__c,Name,Correta__c,Ativa__c,ExplicacaoAlternativa__c
"[Id da Questão SM001]",1,"Configuração que define origem, schema e frequência de ingestão",true,true,"Um Data Stream é a entidade que orquestra como os dados fluem do CRM ou sistema externo para o Data Cloud, definindo exatamente quais campos, com que frequência e sob quais regras de qualidade."
"[Id da Questão SM001]",2,"Grupo dinâmico de perfis com critérios definidos",false,true,"Esta é a definição de um segmento no Data Cloud, não de um Data Stream."
"[Id da Questão SM001]",3,"Aplicar o papel de Data Stream com __dlm para resolver este caso: iniciar a entrada de dados",false,true,"Esta frase descreve uma aplicação de uso, não a definição do conceito."
"[Id da Questão SM001]",4,"Executar ativação sem validar consentimento e governança previamente",false,true,"Isto é um anti-padrão e não define o que é um Data Stream."
"[Id da Questão SM002]",1,"Receber dados antes da harmonização",true,true,"Um DLO é o repositório que armazena dados brutos antes de passarem por harmonização e transformação, sendo essencial no pipeline de qualidade."
"[Id da Questão SM002]",2,"Publicação de segmentos para destinos externos",false,true,"Isto descreve uma ativação, não a função de um DLO."
"[Id da Questão SM002]",3,"Aplicar o papel de Harmonização para resolver este caso: alinhar semântica entre origem e modelo",false,true,"Harmonização é uma camada acima do DLO, não sua função principal."
"[Id da Questão SM002]",4,"Trocar mapeamento sem revisão de impacto em DMO e consumidores downstream",false,true,"Este é um erro operacional, não uma função de DLO."
"[Id da Questão SM003]",1,"Melhor consistência e uso confiável dos dados para decisão e ativação",true,true,"DMO é o objeto modelado e harmonizado que fornece dados limpos, confiáveis e prontos para uso em análises e ativações."
"[Id da Questão SM003]",2,"Conector nativo para ingestão de dados do Salesforce CRM",false,true,"Isto descreve um Data Stream ou conector, não um DMO."
"[Id da Questão SM003]",3,"Aplicar o papel de Governança de dados para resolver este caso: assegurar conformidade",false,true,"Governança é um controle, não a definição de DMO."
"[Id da Questão SM003]",4,"Priorizar velocidade e adiar qualidade de dados para depois do go-live",false,true,"Este é um anti-padrão que ignora a importância de um DMO de qualidade."
"[Id da Questão SM004]",1,"Processo que unifica perfis de múltiplas fontes",true,true,"Identity Resolution é o mecanismo que conecta e deduplica identidades de diferentes sistemas em um único perfil unificado no Data Cloud."
"[Id da Questão SM004]",2,"Conexão para ingestão de arquivos em buckets S3",false,true,"Isto descreve um conector de ingestão, não Identity Resolution."
"[Id da Questão SM004]",3,"Aplicar o papel de Consentimento para resolver este caso: garantir conformidade",false,true,"Consentimento é ortogonal ao processo de unificação de identidades."
"[Id da Questão SM004]",4,"Assumir que Identity Resolution substitui harmonização e modelagem",false,true,"Esta é uma falsa suposição; Identity Resolution e harmonização são complementares."
"[Id da Questão SM005]",1,"Gerar indicadores de negócio reutilizáveis",true,true,"Um Calculated Insight é um indicador calculado sob demanda ou em cadência que agrega dados do Data Cloud para fornecer métricas de negócio reutilizáveis e confiáveis."
"[Id da Questão SM005]",2,"Componente para exibir dados do Data Cloud no CRM",false,true,"Isto descreve um componente de visualização, não um Calculated Insight."
"[Id da Questão SM005]",3,"Aplicar o papel de Zero-Copy para resolver este caso: reduzir latência e custo de armazenamento",false,true,"Zero-Copy é um conceito de otimização, não a função de um Calculated Insight."
"[Id da Questão SM005]",4,"Publicar segmento sem critérios de inclusão e exclusão testados",false,true,"Este é um risco operacional de ativação, não a função de um Calculated Insight."
