Questao__c,OrdemExibicao__c,Name,Correta__c,Ativa__c,ExplicacaoAlternativa__c
"[QUESTAO_SM011_ID]",1,"Data Model Object (DMO)",false,true,"DMO é a camada modelada após a harmonização, não o estado bruto dos dados. Os dados em estado bruto residem em outro objeto."
"[QUESTAO_SM011_ID]",2,"Data Lake Object (DLO)",true,true,"O Data Lake Object (DLO) é o contêiner que armazena os dados brutos assim que são ingeridos, antes de qualquer processo de transformação ou harmonização."
"[QUESTAO_SM011_ID]",3,"Calculated Insight",false,true,"Calculated Insights são métricas calculadas derivadas de dados harmonizados, não o armazenamento de dados brutos originais."
"[QUESTAO_SM011_ID]",4,"Activation Target",false,true,"Activation Targets são destinos externos para envio de dados já processados, não locais de armazenamento bruto."
"[QUESTAO_SM012_ID]",1,"Data Model Object (DMO)",true,true,"Os DMOs são a camada modelada do Data Cloud. Eles seguem o Cloud Information Model (CIM) para garantir que dados de diferentes fontes falem a mesma linguagem."
"[QUESTAO_SM012_ID]",2,"Custom Metadata",false,true,"Custom Metadata é usado para configurações, não como destino de mapeamento de DLOs. O mapeamento segue para modelos de dados padronizados."
"[QUESTAO_SM012_ID]",3,"Salesforce Schema",false,true,"Salesforce Schema refere-se ao CRM tradicional, não ao modelo de dados do Data Cloud. O Data Cloud tem seu próprio modelo padrão."
"[QUESTAO_SM012_ID]",4,"Data Stream Object",false,true,"Data Stream Objects orquestram a ingestão, mas não são o alvo do mapeamento. O mapeamento leva DLOs para a camada modelada."
"[QUESTAO_SM013_ID]",1,"Data Mapping",false,true,"Data Mapping é o processo de transformação de dados, não o recurso de consolidação de identidades. Identidades requerem lógica de matching específica."
"[QUESTAO_SM013_ID]",2,"Streaming Insights",false,true,"Streaming Insights processam dados em tempo real, mas não consolidam identidades em um perfil unificado. Esse é papel das regras de resolução."
"[QUESTAO_SM013_ID]",3,"Identity Resolution Rules",true,true,"As Identity Resolution Rules (Regras de Resolução de Identidade) utilizam critérios de correspondência (Match Rules) para identificar e unir registros duplicados em um único perfil unificado."
"[QUESTAO_SM013_ID]",4,"Connector API",false,true,"Connector API orquestra a ingestão de dados externos, mas não resolve identidades. Ela traz dados para o Data Cloud, não os consolida."
"[QUESTAO_SM014_ID]",1,"Calculated Insights",true,true,"Calculated Insights são usados para cálculos multidimensionais históricos que exigem grande processamento, como o Lifetime Value (LTV) de um cliente."
"[QUESTAO_SM014_ID]",2,"Streaming Insights",false,true,"Streaming Insights focam em ações de tempo real e eventos em cadência alta, não em cálculos complexos de lote com histórico acumulado."
"[QUESTAO_SM014_ID]",3,"Data Streams",false,true,"Data Streams orquestram a ingestão de dados, não realizam cálculos ou derivações de métricas complexas como LTV."
"[QUESTAO_SM014_ID]",4,"Identity Resolution",false,true,"Identity Resolution consolida identidades, não calcula métricas de negócio como Lifetime Value. São funções complementares mas distintas."
"[QUESTAO_SM015_ID]",1,"Data Lake",false,true,"Data Lake armazena dados internamente no Data Cloud. Activation Targets são para envio de dados para destinos externos fora do Data Cloud."
"[QUESTAO_SM015_ID]",2,"Identity Rules",false,true,"Identity Rules consolidam perfis internamente. Ativação envolve envio de segmentos para destinos externos como Marketing Cloud ou S3."
"[QUESTAO_SM015_ID]",3,"DMO",false,true,"DMOs armazenam dados modelados internamente. Para envio externo, usa-se Activation Targets que conectam a Marketing Cloud, S3, etc."
"[QUESTAO_SM015_ID]",4,"Activation Targets",true,true,"Activation Targets representam o destino final para onde os segmentos de audiência são exportados para que a jornada do cliente continue fora do Data Cloud."
